Part	Value	Attributes	Package	Description	Part Num
H1	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H2	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H3	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H4	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
TP1	TP		TP-13		*
X1	ESQ-126-38-G-D		ESQ-126-XX-X-D	Samtec ESQ-126-XX-G-D Elevated Sockets Seires	*
C1	6.8pF		C0603(1608)		*
C2	DNP		C0603(1608)		*
C3	13pF		C0603(1608)		*
C4	8.2pF		C0603(1608)		*
C5	DNP		C0603(1608)		*
C6	10uF		C1206-GCM31		*
C7	470pF 0805		C0805(2012)		*
C8	1000pF		C0603(1608)		*
C9	56pF		C0603(1608)		*
C10	56pF		C0603(1608)		*
C11	3.3uF		C1210-TMK325		*
C12	10pF		C0603(1608)		*
C13	1nF		C0603(1608)		*
C14	15pF		C0603(1608)		*
C15	56pF		C0603(1608)		*
C16	DNP		C0603(1608)		*
C17	DNP		C0603(1608)		*
C18	8.2pF		C0603(1608)		*
C19	12pF		C0603(1608)		*
C20	8.2pF		C0603(1608)		*
C21	10pF		C0603(1608)		*
C22	6pF		C0603(1608)		*
C23	DNP		C0603(1608)		*
C24	6pF		C0603(1608)		*
C25	56pF		C0603(1608)		*
C26	56pF		C0603(1608)		*
C27	330pF		C0603(1608)		*
C28	10nF		C0603(1608)		*
C29	100pF		C0603(1608)		*
C30	47pF		C0603(1608)		*
C31	1nF		C0603(1608)		*
C32	10nF		C0603(1608)		*
C33	1nF		C0603(1608)		*
C34	100nF		C0603(1608)		*
C35	10nF		C0603(1608)		*
C36	10nF		C0603(1608)		*
C37	3.3uF		C1210-TMK325		*
C38	180pF		C0603(1608)		*
C39	100nF		C0603(1608)		*
C40	100nF		C0603(1608)		*
C41	4.7uF		C1210-GCM32		*
C42	22uF,1210		C1210-GCM32		*
C43	10nF		C0603(1608)		*
C44	4.7uF,1210		C0805(2012)		*
C45	22uF		C1210-GCM32		*
C46	100uF		C1210-GCM32		*
C47	100nF		C0603(1608)		*
F1	LFCN-530		LFCN	LFCN-160 Low Pass Filter	*
JP1			JP1	JUMPER	*
L1	27nH		L0603(1608)		*
L2	DNP		L0603(1608)		*
L3	0R		L0603(1608)		*
L4	DNP		L0603(1608)		*
L5	39nH		L0603(1608)		*
L6	0R		L0603(1608)		*
L7	0R		LQH32CN331K23L		*
L8	0R		L0603(1608)		*
L9	1.5nH		L0603(1608)		*
L10	0R		L0603(1608)		*
L11	11nH		L0603(1608)		*
L12	11nH		L0603(1608)		*
L13	3.9nH		L0603(1608)		*
L14	27nH		L0603(1608)		*
L15	39nH 3012, 1A rating		NR3012		*
R1	100k		R0603(1608)		*
R2	1.5k		R0603(1608)		*
R3	1.5k		R0603(1608)		*
R4	180		R0603(1608)		*
R5	11nH		R0603(1608)		*
R6	4.12k		R0603(1608)		*
R7	470k		R0603(1608)		*
R8	15.968k		R0603(1608)		*
R9	49.9k		R0603(1608)		*
R10	1.5k		R0603(1608)		*
R11	750R		R0603(1608)		*
R12	100k		R0603(1608)		*
R13	100k		R0603(1608)		*
R14	1.5k		R0603(1608)		*
R15	100k		R0603(1608)		*
R16	22k		R0603(1608)		*
TR1	FDV301N		SOT23	FDV301N Digital N channel - FET / Rdson = 5 Ohm / Vgs = 0.7~1.06V / Ids = 220mA	*
U1	MAX2640		SOT23-6	MAX2640	*
U2	PE4259		SC70-6		*
U3	RF5110G		RF5110G	RF5110G	*
U4	OPA347		SOT23-5DBV	OPA347	*
U5	MAX869L		16QSOP	2A, Current-Limited, High-Side	*
U6	LMZ10503EXT		TO-PMOD-7	LMZ10503EXT	*
X2	RFCON-MCX-R/A		MCX-R/A	RF Connectors	*
C48	100nF		C0603(1608)		*
C49	100nF		C0603(1608)		*
C50	100nF		C0603(1608)		*
C51	10nF		C0603(1608)		*
C52	100nF		C0603(1608)		*
C53	100pF		C0603(1608)		*
C54	100nF		C0603(1608)		*
C55	22nF		C0603(1608)		*
C56	10nF		C0603(1608)		*
C57	1.2nF		C0603(1608)		*
C58	100nF		C0603(1608)		*
C59	10nF		C0603(1608)		*
C60	100nF		C0603(1608)		*
C61	22pF		C0603(1608)		*
C62	10nF		C0603(1608)		*
C63	10nF		C0603(1608)		*
C64	100nF		C0603(1608)		*
C65	100nF		C0603(1608)		*
C66	100nF		C0603(1608)		*
C67	10nF		C0603(1608)		*
C68	100nF		C0603(1608)		*
C69	100nF		C0603(1608)		*
C70	100pF		C0603(1608)		*
C71	22nF		C0603(1608)		*
C72	1.2nF		C0603(1608)		*
C73	100nF		C0603(1608)		*
C74	10nF		C0603(1608)		*
C75	10nF		C0603(1608)		*
C76	10nF		C0603(1608)		*
C77	100nF		C0603(1608)		*
C78	22pF		C0603(1608)		*
C79	10nF		C0603(1608)		*
R17	3.9		R0603(1608)		*
R18	3.6k		R0603(1608)		*
R19	1.1k		R0603(1608)		*
R20	280		R0603(1608)		*
R21	100		R0603(1608)		*
R22	3.6k		R0603(1608)		*
R23	3.9		R0603(1608)		*
R24	1.1k		R0603(1608)		*
R25	280		R0603(1608)		*
R26	100		R0603(1608)		*
TCXO1	19.2MHz		TCXO_M532	532L25DT19M2000: CTO electronic components Model 532 19.2MHz TCXO for RF transeiver	*
TCXO2	19.2MHz		TCXO_M532	532L25DT19M2000: CTO electronic components Model 532 19.2MHz TCXO for RF transeiver	*
U7	ADF7021-N		LFCSP48	ADF7021-N	*
U8	ADF7021-N		LFCSP48	ADF7021-N	*
C80	12.5pF		C0603(1608)		*
C81	12.5pF		C0603(1608)		*
C82	100nF		C0603(1608)		*
C83	100nF		C0603(1608)		*
C84	100nF		C0603(1608)		*
C85	100nF		C0603(1608)		*
C86	100nF		C0603(1608)		*
C87	1uF		C0603(1608)		*
C88	100nF		C0603(1608)		*
C89	10uF, LDO Tantal 16V		C1206(3216)-A	TAJA105M020RNJ	*
C90	10uF, LDO Tantal 16V		C1206(3216)-A	TAJA105M020RNJ	*
C91	10nF		C0603(1608)		*
C92	22uF,1210		C1210-GCM32		*
C93	100nF		C0603(1608)		*
JP2			JP1	JUMPER	*
L16	7R, 3A, Ferrite bead		L0805(2012)		*
LED1			CHIPLED_0603	LED	*
LED2			CHIPLED_0603	LED	*
Q1	NX-3215		NX-3215	NDK 32.768 kHz SMD Crystal	*
R27	250		R0603(1608)		*
R28	4.7k		R0603(1608)		*
R29	4.7k		R0603(1608)		*
R30	250		R0603(1608)		*
R31	10k		R0603(1608)		*
R32	10k		R0603(1608)		*
R33	4.7k		R0603(1608)		*
R34	4.7k		R0603(1608)		*
R35	4.7k		R0603(1608)		*
R36	470k		R0603(1608)		*
R37	1.5k		R0603(1608)		*
R38	1k		R0603(1608)		*
R39	1k		R0603(1608)		*
R40	4.7k		R0603(1608)		*
R41	0		R0603(1608)		*
R42	6.2k		R0603(1608)		*
R43	100k		R0603(1608)		*
R44	100k		R0603(1608)		*
U$1	OSSILOGORECT		OSSILOGORECT1005		*
U9	MSP430F1611		PM/PAG64	MSP430F1611	*
U10	MAX6369		SOT23-8	MAX6369	*
U11	TPS3838		SOT23-5DBV	TPS3838	*
U12	MAX890L		SO8	MAX 890L	*
U13	MCP1700_SOT23		SOT23	MCP1700 LDO from Microchips	*
X3			1X03	Header 3	*
X4	P-PAD-S		P-PAD-S		*
X5	5268-03		5268-03		*
X6	P-PAD-S		P-PAD-S		*
X7	JTAG10PINMINI-H		M50-3200545		*
