Part	Value	Attributes	Package	Description	Part Num
H1	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H2	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H3	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
H4	MOUNT-PAD-ROUND3.2		3.2-PAD-ROUND		*
X1	ESQ-126-38-G-D		ESQ-126-XX-X-D	Samtec ESQ-126-XX-G-D Elevated Sockets Seires	*
C1	100nF		C0603(1608)		*
C2	100nF		C0603(1608)		*
C3	100nF		C0603(1608)		*
C4	100nF		C0603(1608)		*
C5	100nF		C0603(1608)		*
C6	100nF		C0603(1608)		*
C7	100nF		C0603(1608)		*
C8	100nF		C0603(1608)		*
C9	100nF		C0603(1608)		*
C10	100nF		C0603(1608)		*
C11	100nF		C0603(1608)		*
C12	100nF		C0603(1608)		*
C13	100nF		C0603(1608)		*
C14	100nF		C0603(1608)		*
C15	100nF		C0603(1608)		*
C16	100nF		C0603(1608)		*
C17	100nF		C0603(1608)		*
R1	10k		R0603(1608)		*
R2	10k		R0603(1608)		*
R3	10k		R0603(1608)		*
R4	10k		R0603(1608)		*
R5	10k		R0603(1608)		*
R6	10k		R0603(1608)		*
R7	10k		R0603(1608)		*
R8	10k		R0603(1608)		*
R9	10k		R0603(1608)		*
R10	100k		R0603(1608)		*
R11	100k		R0603(1608)		*
R12	100k		R0603(1608)		*
R13	100k		R0603(1608)		*
R14	100k		R0603(1608)		*
R15	100k		R0603(1608)		*
R16	100k		R0603(1608)		*
R17	100k		R0603(1608)		*
R18	10k		R0603(1608)		*
U1	OPA4347		TSSOP14-PW	OPA4347	*
U2	ADG708		TSSOP16-RU		*
U3	OPA4347		TSSOP14-PW	OPA4347	*
U4	ADR121		TSOT-6UJ-6	ADR127	*
U5	ADG708		TSSOP16-RU		*
U6	OPA4347		TSSOP14-PW	OPA4347	*
BAT1	BATTERY-BH32T		BH32T-C-G		*
C18	100nF		C0603(1608)		*
C19	100nF		C0603(1608)		*
C20	1uF 0805		C0805(2012)		*
C21	100nF		C0603(1608)		*
C22	1uF 0805		C0805(2012)		*
C23	1uF 0805		C0805(2012)		*
C24	100nF		C0603(1608)		*
C25	100nF		C0603(1608)		*
C26	100nF		C0603(1608)		*
C27	100nF		C0603(1608)		*
C28	100nF		C0603(1608)		*
C29	4.7uF, 1210		C1206-GCM31		*
C30	10uF,3225		C1210-GCM32		*
D1	MMSD4148T1G		SOD-123		*
F1	POLYSWITCH		NANOSMDC150FCT	Resettable Polyswitch	*
L1	470uH, 240mA		L(2220)		*
R19	250		R0603(1608)		*
R20	470k		R0603(1608)		*
R21	250		R0603(1608)		*
R22	1.5k		R0603(1608)		*
R23	1.5k		R0603(1608)		*
R24	250		R0603(1608)		*
R25	250		R0603(1608)		*
R26	1.5k		R0603(1608)		*
R27	100k		R0603(1608)		*
R28	1.5k		R0603(1608)		*
R29	1.5k		R0603(1608)		*
R30	250		R0603(1608)		*
R31	250		R0603(1608)		*
R32	4.7k		R0603(1608)		*
R33	470k		R0603(1608)		*
R34	470k		R0603(1608)		*
R35	33k		R0603(1608)		*
R36	4.7k		R0603(1608)		*
R37	120, DNP		R0603(1608)		*
R38	250		R0603(1608)		*
R39	4.7k		R0603(1608)		*
R40	33k		R0603(1608)		*
R41	250		R0603(1608)		*
R42	4.7k		R0603(1608)		*
R43	470k		R0603(1608)		*
R44	4.7k		R0603(1608)		*
R45	100k		R0603(1608)		*
R46	470k		R0603(1608)		*
R47	100k		R0603(1608)		*
R48	100k		R0603(1608)		*
R49	100k		R0603(1608)		*
R50	1.5k		R0603(1608)		*
R51	1.5k		R0603(1608)		*
R52	1.5k		R0603(1608)		*
R53	1.5k		R0603(1608)		*
R54	10k		R0603(1608)		*
R55	1.5k		R0603(1608)		*
R56	1.5k		R0603(1608)		*
R57	1.5k		R0603(1608)		*
R58	10k		R0603(1608)		*
R59	10k		R0603(1608)		*
R60	10k		R0603(1608)		*
R61	10k		R0603(1608)		*
R62	100k		R0603(1608)		*
TR1	FDV301N		SOT23	FDV301N Digital N channel - FET / Rdson = 5 Ohm / Vgs = 0.7~1.06V / Ids = 220mA	*
U7	DS3231-L		SO16L	DS3231	*
U8	24LC256-8LEAD		SO08-208	24LC256	*
U9	LTC4411		TSOT23-5	Linear Techonology LTC4411 ideal diode	*
U10	ADXRS450SOIC		SOIC-16CAV		*
U11	FM24V02-G		SO8	FM24V02	*
U12	TMP101		SOT23-6DBV	TMP101 Digital Temerature Sensor with I2C Interface from Texas Instruments with Alert Function	*
U13	SN65HVD11QD		SO8	SN65HVD11 3.3V RS485 Transceiver	*
U14	TCA9548APWR		TSSOP-24-PW	PCA9548APWR	*
U15	SN74LVC8T245PWR		PW_R-PDSO-G24	SN74LVC8T245	*
U16	LTC4411		TSOT23-5	Linear Techonology LTC4411 ideal diode	*
X2	MOLEX-22-05-7045		22-05-7045	molex spoxt 5268 series 22-05-7045 for external interface	*
C31	12.5pF		C0603(1608)		*
C32	12.5pF		C0603(1608)		*
C33	100nF		C0603(1608)		*
C34	100nF		C0603(1608)		*
C35	100nF		C0603(1608)		*
C36	100nF		C0603(1608)		*
C37	100nF		C0603(1608)		*
C38	1uF		C0603(1608)		*
C39	100nF		C0603(1608)		*
C40	10uF, LDO Tantal 16V		C1206(3216)-A	TAJA105M020RNJ	*
C41	10uF, LDO Tantal 16V		C1206(3216)-A	TAJA105M020RNJ	*
JP1			JP1	JUMPER	*
LED1			LED-0603	LEDs	*
Q1	NX-3215		NX-3215	NDK 32.768 kHz SMD Crystal	*
R63	250		R0603(1608)		*
R64	250		R0603(1608)		*
R65	10k		R0603(1608)		*
R66	300k		R0603(1608)		*
R67	10k		R0603(1608)		*
R68	4.7k		R0603(1608)		*
R69	4.7k		R0603(1608)		*
R70	4.7k		R0603(1608)		*
R71	4.7k		R0603(1608)		*
R72	0		R0603(1608)		*
R73	0		R0603(1608)		*
R74	6.2k		R0603(1608)		*
R75	0		R0603(1608)		*
R76	100k		R0603(1608)		*
R77	100k		R0603(1608)		*
U$1	OSSILOGORECT		OSSILOGORECT1005		*
U17	MSP430F1611		PM/PAG64	MSP430F1611	*
U18	MAX6369		SOT23-8	MAX6369	*
U19	TPS3838		SOT23-5DBV	TPS3838	*
U20	MAX890L		SO8	MAX 890L	*
U21	MCP1700_SOT23		SOT23	MCP1700 LDO from Microchips	*
X3			1X03	Header 3	*
X4	P-PAD-S		P-PAD-S		*
X5	P-PAD-S		P-PAD-S		*
X6	JTAG10PINMINI-H		M50-3200545		*
