Part	Value	Attributes	Package	Description	Part Num
C1	100nF		C0603(1608)		*
D1	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D2	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D3	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D4	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D5	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D6	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D7	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
D8	STPS0520Z		SOD-123	We use STPS0520Z by st.com diode for solar cell schottky diode.	*
H1	MOUNT-PAD-ROUND2.1		2.1-PAD-ROUND		*
H2	MOUNT-PAD-ROUND2.1		2.1-PAD-ROUND		*
H3	MOUNT-PAD-ROUND2.1		2.1-PAD-ROUND		*
H4	MOUNT-PAD-ROUND2.1		2.1-PAD-ROUND		*
JP1	JP2		JP2SMD0603		*
JP2	JP2		JP2SMD0603		*
R1	250		R0603(1608)		*
R2	250		R0603(1608)		*
R3	50m		WSL1206		*
R4	1k		R0603(1608)		*
S1	TASCSOLARCELL		TASCSOLARCELL		*
S2	TASCSOLARCELL		TASCSOLARCELL		*
S3	TASCSOLARCELL		TASCSOLARCELL		*
S4	TASCSOLARCELL		TASCSOLARCELL		*
S5	TASCSOLARCELL		TASCSOLARCELL		*
S6	TASCSOLARCELL		TASCSOLARCELL		*
S7	TASCSOLARCELL		TASCSOLARCELL		*
S8	TASCSOLARCELL		TASCSOLARCELL		*
S9	TASCSOLARCELL		TASCSOLARCELL		*
S10	TASCSOLARCELL		TASCSOLARCELL		*
S11	TASCSOLARCELL		TASCSOLARCELL		*
S12	TASCSOLARCELL		TASCSOLARCELL		*
S13	TASCSOLARCELL		TASCSOLARCELL		*
S14	TASCSOLARCELL		TASCSOLARCELL		*
S15	TASCSOLARCELL		TASCSOLARCELL		*
S16	TASCSOLARCELL		TASCSOLARCELL		*
U$1	OSSILOGO-10		OSSILOGO1010		*
U$2	OSSILOGO-10		OSSILOGO1010		*
U$3	OSSITAGCC		CCLOGO		*
U1	TMP100		SOT23-6DBV	TMP100 Digital Temerature Sensor with I2C Interface from Texas Instruments	*
U2	MAX4376		SOT23-5DBV		*
X1	DF13DF13A-8P-1.25H		DF13A-8P	Hirose DF13 series connector	*
